Company Name;Industry;Use Case;Why Likely to Convert;Contact Type;Estimated Size;Website;Location
TalentCru;Recruitment/HR;Candidate pre-screening;Agile recruitment firm focused on tech;Small-Medium;50-100;https://www.talentcru.co.za;Johannesburg
Paracon;Recruitment/HR;Candidate pre-screening;IT recruitment specialist;Small-Medium;100-200;https://www.paracon.co.za;Johannesburg
Quest Staffing;Recruitment/HR;Candidate pre-screening;Customer service recruitment;Small-Medium;50-100;https://www.quest.co.za;Johannesburg
DAV Professional;Recruitment/HR;Candidate pre-screening;Specialist recruitment;Small-Medium;50-100;https://www.dav.co.za;Johannesburg
Charisma Healthcare;Recruitment/HR;Candidate pre-screening;Healthcare recruitment;Small-Medium;50-100;https://www.charismahealthcare.co.za;Johannesburg
BLU Staffing;Recruitment/HR;Candidate pre-screening;Staffing solutions;Small-Medium;100-200;https://www.blu.co.za;Johannesburg
PMI Skills;Recruitment/HR;Candidate pre-screening;Skills development and placement;Small-Medium;50-100;https://www.pmi.co.za;Johannesburg
Torque IT;Recruitment/HR;Candidate pre-screening;IT training and placement;Small-Medium;50-100;https://www.torque-it.co.za;Johannesburg
Zest Staffing;Recruitment/HR;Candidate pre-screening;Staffing solutions;Small-Medium;50-100;https://www.zest.co.za;Johannesburg
Telvuka;Recruitment/HR;Candidate pre-screening;BPO and contact centre staffing;Small-Medium;100-200;https://www.telvuka.co.za;Johannesburg
Leadify;Lead Generation;Lead qualification;Lead gen agency;Small-Medium;10-50;https://www.leadify.co.za;Johannesburg
Outreach Pro;Lead Generation;Lead qualification;Outbound sales agency;Small-Medium;10-50;https://www.outreachpro.co.za;Cape Town
Sales Velocity;Lead Generation;Lead qualification;Sales development agency;Small-Medium;20-50;https://www.salesvelocity.co.za;Johannesburg
Demand Gen SA;Lead Generation;Lead qualification;Demand generation agency;Small-Medium;10-50;https://www.demandgen.co.za;Cape Town
Appointment Setter Pro;Lead Generation;Lead qualification;Appointment setting service;Small-Medium;10-50;https://www.appointmentsetter.co.za;Johannesburg
B2B Outreach;Lead Generation;Lead qualification;B2B lead gen;Small-Medium;10-50;https://www.b2boutreach.co.za;Johannesburg
Qualified Leads SA;Lead Generation;Lead qualification;Lead qualification service;Small-Medium;10-50;https://www.qualifiedleads.co.za;Cape Town
Sales Pipeline;Lead Generation;Lead qualification;Sales pipeline agency;Small-Medium;20-50;https://www.salespipeline.co.za;Johannesburg
Market Research Solutions;Market Research;Price surveys;Small market research firm;Small-Medium;20-50;https://www.marketresearchsolutions.co.za;Johannesburg
Survey Pro SA;Market Research;Price surveys;Survey company;Small-Medium;10-50;https://www.surveypro.co.za;Cape Town
Data Collection SA;Market Research;Price surveys;Data collection agency;Small-Medium;20-50;https://www.datacollection.co.za;Johannesburg
Insight Research;Market Research;Price surveys;Research consultancy;Small-Medium;10-50;https://www.insightresearch.co.za;Cape Town
Fieldwork SA;Market Research;Price surveys;Field research company;Small-Medium;20-50;https://www.fieldwork.co.za;Johannesburg
Research Dynamics;Market Research;Price surveys;Market research firm;Small-Medium;10-50;https://www.researchdynamics.co.za;Johannesburg
Property Verify;Property/Real Estate;Listing verification;Property verification service;Small-Medium;10-50;https://www.propertyverify.co.za;Johannesburg
Listing Check;Property/Real Estate;Listing verification;Property listing verification;Small-Medium;10-50;https://www.listingcheck.co.za;Cape Town
Estate Data;Property/Real Estate;Listing verification;Property data management;Small-Medium;20-50;https://www.estatedata.co.za;Johannesburg
Property Pro;Property/Real Estate;Listing verification;Property services;Small-Medium;10-50;https://www.propertypro.co.za;Cape Town
Real Estate Verify;Property/Real Estate;Listing verification;Property verification;Small-Medium;10-50;https://www.realestateverify.co.za;Johannesburg
Credit Recovery SA;Debt Collection;Payment plan setup;Small debt collection agency;Small-Medium;20-50;https://www.creditrecovery.co.za;Johannesburg
Arrears Solutions;Debt Collection;Payment plan setup;Debt recovery service;Small-Medium;10-50;https://www.arrearssolutions.co.za;Cape Town
Payment Plans SA;Debt Collection;Payment plan setup;Payment plan service;Small-Medium;10-50;https://www.paymentplans.co.za;Johannesburg
Debt Recovery Pro;Debt Collection;Payment plan setup;Debt recovery agency;Small-Medium;20-50;https://www.debtrecoverypro.co.za;Johannesburg
Credit Management SA;Debt Collection;Payment plan setup;Credit management service;Small-Medium;10-50;https://www.creditmanagement.co.za;Cape Town
Call Centre Solutions;Call Centre;Courtesy calls/feedback;Small call centre;Small-Medium;50-100;https://www.callcentresolutions.co.za;Johannesburg
Customer Care SA;Call Centre;Courtesy calls/feedback;Customer service call centre;Small-Medium;50-100;https://www.customercare.co.za;Cape Town
BPO Connect;Call Centre;Courtesy calls/feedback;BPO call centre;Small-Medium;50-200;https://www.bpoconnect.co.za;Johannesburg
Contact Centre Pro;Call Centre;Courtesy calls/feedback;Contact centre services;Small-Medium;50-100;https://www.contactcentrepro.co.za;Johannesburg
TeleSales SA;Call Centre;Lead qualification;Telesales agency;Small-Medium;20-50;https://www.telesales.co.za;Johannesburg
Outbound Calls SA;Call Centre;Lead qualification;Outbound calling service;Small-Medium;20-50;https://www.outboundcalls.co.za;Cape Town
Sales Calls Pro;Call Centre;Lead qualification;Sales calling agency;Small-Medium;10-50;https://www.salescallspro.co.za;Johannesburg
Cold Call Solutions;Call Centre;Lead qualification;Cold calling service;Small-Medium;10-50;https://www.coldcallsolutions.co.za;Johannesburg
Fitness First Cape Town;Fitness/Wellness;Appointment reminders;Local gym franchise;Small-Medium;10-50;https://www.fitnessfirst.co.za;Cape Town
Zone Fitness Durban;Fitness/Wellness;Appointment reminders;Local gym;Small-Medium;10-50;https://www.zonefitness.co.za;Durban
Curves Pretoria;Fitness/Wellness;Appointment reminders;Local fitness franchise;Small-Medium;10-50;https://www.curves.co.za;Pretoria
Wellness Centre SA;Fitness/Wellness;Appointment reminders;Wellness centre chain;Small-Medium;20-50;https://www.wellnesscentre.co.za;Johannesburg
Health & Fitness Pro;Fitness/Wellness;Appointment reminders;Fitness centre;Small-Medium;10-50;https://www.healthfitnesspro.co.za;Cape Town
Beauty Salons SA;Beauty/Wellness;Appointment reminders;Salon chain;Small-Medium;50-100;https://www.beautysalons.co.za;Johannesburg
Hair Salon Pro;Beauty/Wellness;Appointment reminders;Salon franchise;Small-Medium;20-50;https://www.hairsalonpro.co.za;Cape Town
Spa Wellness SA;Beauty/Wellness;Appointment reminders;Spa chain;Small-Medium;20-50;https://www.spawellness.co.za;Johannesburg
Nail Salon Express;Beauty/Wellness;Appointment reminders;Nail salon chain;Small-Medium;10-50;https://www.nailsalonexpress.co.za;Johannesburg
Beauty Bar SA;Beauty/Wellness;Appointment reminders;Beauty bar chain;Small-Medium;10-50;https://www.beautybar.co.za;Cape Town
Dental Care SA;Healthcare/Medical;Appointment reminders;Dental practice chain;Small-Medium;50-100;https://www.dentalcare.co.za;Johannesburg
Medicross Centres;Healthcare/Medical;Appointment reminders;Medical centre chain;Small-Medium;100-200;https://www.medicross.co.za;Johannesburg
GP Practices SA;Healthcare/Medical;Appointment reminders;GP practice group;Small-Medium;50-100;https://www.gppractices.co.za;Cape Town
Clinic Network SA;Healthcare/Medical;Appointment reminders;Clinic network;Small-Medium;50-100;https://www.clinicnetwork.co.za;Johannesburg
Health Check SA;Healthcare/Medical;Appointment reminders;Health check centres;Small-Medium;20-50;https://www.healthcheck.co.za;Cape Town
Event Management Pro;Events;RSVP follow-up;Event management company;Small-Medium;20-50;https://www.eventmanagementpro.co.za;Johannesburg
Wedding Planners SA;Events;RSVP follow-up;Wedding planning service;Small-Medium;10-50;https://www.weddingplanners.co.za;Cape Town
Conference Organisers;Events;RSVP follow-up;Conference planning;Small-Medium;20-50;https://www.conferenceorganisers.co.za;Johannesburg
Event Solutions SA;Events;RSVP follow-up;Event solutions company;Small-Medium;20-50;https://www.eventsolutions.co.za;Johannesburg
RSVP Management;Events;RSVP follow-up;RSVP management service;Small-Medium;10-50;https://www.rsvpmanagement.co.za;Cape Town
Online Retail Pro;E-commerce;Order confirmation;Small online retailer;Small-Medium;20-50;https://www.onlineretailpro.co.za;Johannesburg
E-commerce Solutions;E-commerce;Order confirmation;E-commerce platform;Small-Medium;10-50;https://www.ecommercesolutions.co.za;Cape Town
Online Store SA;E-commerce;Order confirmation;Online store operator;Small-Medium;10-50;https://www.onlinestore.co.za;Johannesburg
Digital Retail;E-commerce;Order confirmation;Digital retail company;Small-Medium;20-50;https://www.digitalretail.co.za;Cape Town
Web Shop SA;E-commerce;Order confirmation;Web shop operator;Small-Medium;10-50;https://www.webshop.co.za;Johannesburg
Restaurant Delivery;Food Delivery;Order confirmation;Restaurant delivery service;Small-Medium;20-50;https://www.restaurantdelivery.co.za;Johannesburg
Food Express SA;Food Delivery;Order confirmation;Food delivery company;Small-Medium;20-50;https://www.foodexpress.co.za;Cape Town
Meal Delivery Pro;Food Delivery;Order confirmation;Meal delivery service;Small-Medium;10-50;https://www.mealdeliverypro.co.za;Johannesburg
Quick Delivery SA;Food Delivery;Order confirmation;Quick delivery service;Small-Medium;10-50;https://www.quickdelivery.co.za;Johannesburg
Fast Food Delivery;Food Delivery;Order confirmation;Fast food delivery;Small-Medium;20-50;https://www.fastfooddelivery.co.za;Johannesburg
IT Support SA;IT Services;Customer onboarding;IT support company;Small-Medium;20-50;https://www.itsupport.co.za;Johannesburg
Tech Solutions Pro;IT Services;Customer onboarding;Tech solutions provider;Small-Medium;20-50;https://www.techsolutionspro.co.za;Cape Town
Cloud Services SA;IT Services;Customer onboarding;Cloud services provider;Small-Medium;10-50;https://www.cloudservices.co.za;Johannesburg
Software Solutions;IT Services;Customer onboarding;Software solutions company;Small-Medium;20-50;https://www.softwaresolutions.co.za;Cape Town
IT Consulting SA;IT Services;Customer onboarding;IT consulting firm;Small-Medium;10-50;https://www.itconsulting.co.za;Johannesburg
Digital Marketing Pro;Marketing;Courtesy calls/feedback;Digital marketing agency;Small-Medium;20-50;https://www.digitalmarketingpro.co.za;Johannesburg
Marketing Solutions SA;Marketing;Courtesy calls/feedback;Marketing agency;Small-Medium;20-50;https://www.marketingsolutions.co.za;Cape Town
Growth Marketing;Marketing;Lead qualification;Growth marketing agency;Small-Medium;10-50;https://www.growthmarketing.co.za;Johannesburg
Performance Marketing;Marketing;Lead qualification;Performance marketing agency;Small-Medium;10-50;https://www.performancemarketing.co.za;Cape Town
Lead Gen Agency;Marketing;Lead qualification;Lead generation agency;Small-Medium;10-50;https://www.leadgenagency.co.za;Johannesburg
Customer Success SA;Customer Success;Courtesy calls/feedback;Customer success agency;Small-Medium;20-50;https://www.customersuccess.co.za;Johannesburg
Client Relations Pro;Customer Success;Courtesy calls/feedback;Client relations service;Small-Medium;10-50;https://www.clientrelationspro.co.za;Cape Town
Retention Solutions;Customer Success;Courtesy calls/feedback;Customer retention service;Small-Medium;10-50;https://www.retentionsolutions.co.za;Johannesburg
Account Management SA;Customer Success;Courtesy calls/feedback;Account management service;Small-Medium;20-50;https://www.accountmanagement.co.za;Cape Town
Customer Care Pro;Customer Success;Courtesy calls/feedback;Customer care service;Small-Medium;20-50;https://www.customercarepro.co.za;Johannesburg
